input,output
was zero or null on the most recent date in the last 39 days,3
combined data usage and outgoing call MOU over last 16 weeks,1
not subscribed to product in last 40 days,2
combined account balance and og call revenue over last 12 weeks,1
customers who activated HBB add-on yesterday,3
customers detected in South at least once in the last 70 days,3
purchased specified product in the last 9 months,5
account balance growth over the last 38 weeks,4
revenue greater than given value,5
customers who activated HBB add-on yesterday,3
customers detected in Region X at least once in the last 2 months,3
total outgoing call MOU in the last 4 days,1
combined data usage and account balance over last 73 weeks,1
Last X days account balance,5
data usage greater than given value,5
count of action keys sent in the last 5 days,2
difference in data volume and data usage from yesterday,4
customers whose outgoing call MOU on event date >= 31,3
Promo sent for campaign responses in last X days,5
average data usage over last 90 weeks,1
next best offer exists,2
customers whose campaign responses count in the last 9 months >= 1,1
customers who received a bonus for purchases in the last N days,5
combined data volume and revenue over last 86 weeks,1
average data volume over last 78 weeks,1
outgoing call MOU growth over the last 49 days,4
customers whose purchases count in the last 54 weeks >= 23,1
Last X days outgoing call MOU,5
customer VALUE_SEGMENT_OVERALL > 55,2
customers who have a valid ID and MAX(ID) <> NULL,3
tariff plan is available,2
average outgoing call MOU over last NoOfDays days,5
Promo sent for billing events in last X days,5
percentage increase in revenue compared to 32 months ago,4
combined data usage and outgoing call MOU over last 2 weeks,1
customers detected in Northoman at least once in the last 2 months,3
customer network age > 88,2
Last X days outgoing call MOU,5
customers who activated prepaid best plan yesterday,3
network age = 54,2
account balance drop of more than 70% compared to last month,4
incoming call MOU drop of more than 29% compared to last month,4
percentage increase in data volume compared to 19 months ago,4
percentage increase in data volume compared to 24 months ago,4
og call revenue growth over the last 57 months,4
no active M138,2
customers who received a bonus for purchases in the last N days,5
count of billing events sent in the last 76 days,2
was zero or null on the most recent date in the last 43 days,3
was zero or null on the most recent date in the last 26 days,3
sum of og call revenue and incoming call MOU in the last 30 days,1
incoming call MOU greater than given value,5
combined incoming call MOU and revenue over last 15 months,1
average incoming call MOU over last 44 months,1
average revenue over last NoOfDays days,5
customers who have a valid ID and MAX(ID) <> NULL,3
total recharge amount for MD03,1
next best offer exists,2
no active M138,2
customers who have a valid ID and MAX(ID) <> NULL,3
customers who received a bonus for campaign responses in the last N days,5
customers detected in Region X at least once in the last 2 months,3
incoming call MOU greater than given value,5
average data usage over last 27 weeks,1
count of billing events sent in the last 92 days,2
outgoing call MOU last month,1
difference in incoming call MOU and data volume from yesterday,4
count of billing events in the last 50 days,1
total data volume in the last 80 months,1
customers whose current location is Region X,3
outgoing call MOU greater than given value,5
outgoing call MOU drop of more than 55% compared to last month,4
customers who received a bonus for campaign responses in the last N days,5
average weekly outgoing call MOU,1
VALUE_SEGMENT_OVERALL = 71,2
average outgoing call MOU over last NoOfDays days,5
customers whose account balance on event date >= 50,3
customer network age > 10,2
count of purchases in the last 57 months,1
account balance drop of more than 30% compared to last month,4
customers who received a bonus for bonuses in the last N days,5
purchased specified product in the last 8 months,5
was zero or null on the most recent date in the last 60 days,3
Promo sent for promotions in last X days,5
og call revenue greater than given value,5
